# file...... 1Meter_632_B_power.csv
# date...... Thu May 13 04:58:53 2021
# user...... cjigau
# host...... (null)
# trigger... (none)
# interval.. 900
# limit..... 0
# timestamp,house_meter_632_B_24:measured_power,house_meter_632_B_25:measured_power,house_meter_632_B_26:measured_power,house_meter_632_B_27:measured_power,house_meter_632_B_28:measured_power,house_meter_632_B_29:measured_power,house_meter_632_B_30:measured_power,house_meter_632_B_31:measured_power,house_meter_632_B_32:measured_power,house_meter_632_B_33:measured_power,house_meter_632_B_34:measured_power,house_meter_632_B_35:measured_power,house_meter_632_B_36:measured_power,house_meter_632_B_37:measured_power,house_meter_632_B_38:measured_power,house_meter_632_B_39:measured_power,house_meter_632_B_40:measured_power
2021-01-06 10:30:00 UTC,+880.156+0.00407417d,+1840.6+0.00748589d,+2561.32+0.0118666d,+2881.59+0.0126313d,+1760.63+0.00815436d,+1120.25+0.00518712d,+1400.4+0.006485d,+880.156+0.00407501d,+600.073+0.00277794d,+440.02+0.00102518d,+560.063+0.00258845d,+480.046+0.00221857d,+360.026+0.0016638d,+680.093+0.00314335d,+240.012+0.00110912d,+440.039+0.00203364d,+880.156+0.00406835d
2021-01-06 10:45:00 UTC,+760.116+0.00351592d,+2080.84+0.00926185d,+2481.24+0.0114787d,+2401.09+0.010392d,+2040.84+0.0094396d,+1000.2+0.00462434d,+1640.41+0.00569112d,+840.142+0.00388407d,+920.171+0.00425419d,+440.023+0.00122521d,+600.072+0.00276963d,+360.026+0.00166154d,+360.026+0.00166154d,+2040.84+0.00942495d,+280.016+0.00129225d,+280.016+0.00129225d,+520.054+0.00240023d
2021-01-06 11:00:00 UTC,+920.17+0.00424848d,+1560.49+0.00720324d,+3802.91+0.0175701d,+2240.91+0.00929806d,+1800.65+0.00831264d,+1240.31+0.00572455d,+2240.91+0.00929806d,+840.129+0.00352532d,+680.093+0.00313821d,+520.031+0.00137629d,+840.142+0.00387436d,+600.072+0.002767d,+440.039+0.00202894d,+5125.29+0.0236763d,+2321.08+0.0107102d,+200.008+0.000922111d,+640.082+0.00295154d
2021-01-06 11:15:00 UTC,+840.142+0.00388313d,+2000.81+0.00924405d,+2561.28+0.0114723d,+2200.87+0.00912073d,+1720.57+0.00758743d,+1240.29+0.005371d,+1680.49+0.0067336d,+960.185+0.00443436d,+960.185+0.00443436d,+240.012+0.00110643d,+1280.33+0.00590467d,+480.046+0.00221318d,+360.026+0.00165977d,+680.093+0.00313572d,+920.17+0.00424306d,+400.032+0.00184423d,+640.082+0.0029512d
2021-01-06 11:30:00 UTC,+1040.22+0.00481362d,+1840.68+0.00851329d,+2721.49+0.0125916d,+2441.2+0.0112935d,+1600.52+0.00740178d,+1520.33+0.00491786d,+1560.49+0.00721656d,+1120.25+0.00517974d,+1120.25+0.00517974d,+1960.77+0.00906076d,+1480.44+0.00683981d,+560.063+0.0025866d,+480.046+0.00221698d,+2601.36+0.012024d,+1000.2+0.00462015d,+240.012+0.00110833d,+520.054+0.00240178d
2021-01-06 11:45:00 UTC,+600.073+0.00278115d,+2361.09+0.0105744d,+2321.09+0.0107532d,+2160.94+0.0100107d,+2000.81+0.00926823d,+1120.22+0.00449929d,+1800.63+0.00797794d,+1040.22+0.00481668d,+1040.22+0.00481668d,+240.012+0.00110925d,+760.116+0.00351374d,+360.026+0.001664d,+400.032+0.00184893d,+1880.71+0.00869777d,+720.104+0.00332872d,+240.012+0.00110925d,+600.072+0.00277374d
2021-01-06 12:00:00 UTC,+520.055+0.00240657d,+4522.13+0.0108313d,+1960.74+0.00870692d,+2200.98+0.0101816d,+1680.54+0.00741127d,+1480.36+0.0055261d,+1720.6+0.00795784d,+1080.22+0.00463856d,+1160.27+0.0053651d,+360.021+0.00133302d,+800.129+0.00369245d,+2160.94+0.0099778d,+400.032+0.00184578d,+440.039+0.0020304d,+680.093+0.00313835d,+400.032+0.00184578d,+440.039+0.0020304d
2021-01-06 12:15:00 UTC,+640.082+0.00294689d,+4842.51+0.0118978d,+1760.62+0.00810811d,+2321.04+0.0103292d,+1720.59+0.00792364d,+1200.29+0.00552639d,+1520.46+0.00700144d,+1320.35+0.00607947d,+1080.23+0.00497339d,+280.016+0.00128612d,+680.093+0.00312419d,+800.128+0.00367579d,+400.032+0.00183745d,+560.063+0.00257268d,+720.104+0.00330805d,+240.012+0.00110237d,+720.104+0.00330805d
2021-01-06 12:30:00 UTC,+800.128+0.00368602d,+3841.71+0.0102464d,+2200.97+0.0101426d,+2481.24+0.0114355d,+2281.04+0.010512d,+1200.29+0.00552901d,+1640.51+0.00719861d,+1120.23+0.00480474d,+1440.42+0.00663578d,+280.016+0.00128646d,+760.116+0.00349284d,+440.039+0.00202178d,+560.063+0.00257336d,+360.026+0.0016541d,+600.072+0.00275724d,+240.012+0.00110265d,+440.039+0.00202178d
2021-01-06 12:45:00 UTC,+800.128+0.00366657d,+4121.85+0.0103067d,+2200.93+0.00972442d,+2721.48+0.012472d,+2000.8+0.0091666d,+1120.25+0.00513059d,+1720.59+0.00788195d,+1240.21+0.00390719d,+1720.59+0.00788195d,+240.011+0.00109642d,+600.072+0.00274163d,+640.082+0.00292447d,+880.154+0.00402173d,+600.072+0.00274163d,+680.092+0.00310733d,+400.032+0.00182753d,+600.072+0.00274163d
